,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sortname,Android,iOS,country,aaa,percapita,code,gdp,population,LandArea,ChildPercentage,GovEduc,WorkingPercentage,EduDuration,percapita_log,population_log,density,ios,index,cs,island,LangCount,EthnicCount,ReliCount,NonReli,Unnamed: 7,OSX,store
88,88,88,1243,Iraq2020,81.93416667,17.92166667,Iraq,4145.863967,4145.863967,IRQ,184370000000.0,40222503.0,434128.0,37.71374639,,58.8435232,6.0,3.617719789,7.604469104,0.004662295,0.17947541,88,Iraq,0,2,3,1,0.0,Iraq,8.800833333,0
97,97,97,1369,Kenya2020,88.3175,4.558333333,Kenya,1878.581192,1878.581192,KEN,100667000000.0,53771300.0,569140.0,38.58960364,,58.90121004,12.0,3.274061091,7.730550544,0.004572614,0.049079865,97,Kenya,0,2,8,4,0.0,Kenya,10.93666667,0
179,179,179,2517,Sweden2020,49.45333333,50.32333333,Sweden,53574.55264,53574.55264,SWE,541487000000.0,10353442.0,407283.532,17.62357954,,62.04761436,10.0,4.72896666,7.015084797,0.016756799,0.504359737,179,Sweden,0,1,1,1,30.0,Sweden,24.91666667,1
50,50,50,711,Denmark2020,44.79916667,55.02083333,Denmark,61476.59693,61476.59693,DNK,356085000000.0,5831404.0,40000.0,16.28173534,,63.55427521,10.0,4.788716883,6.765773205,0.002968834,0.551200494,50,Denmark,0,1,1,1,0.0,Denmark,34.16166667,0
139,139,139,1957,Nigeria2020,85.17583333,7.249166667,Nigeria,2085.474061,2085.474061,NGA,432294000000.0,206139587.0,910770.0,43.48761072,5.131436825,53.77432522,9.0,3.31941299,8.314161404,0.001914582,0.078432964,139,Nigeria,0,1,4,4,0.0,Nigeria,8.785833333,0
209,209,209,2937,Zimbabwe2020,84.95666667,10.78416667,Zimbabwe,1465.845054,1465.845054,ZWE,18051170799.0,14862927.0,386850.0,41.9111004,,55.0747215,7.0,3.166384241,7.172104374,0.011159148,0.112639156,209,Zimbabwe,0,1,1,4,10.5,Zimbabwe,11.63916667,0
175,175,175,2461,Sri Lanka2020,89.425,9.978333333,Sri Lanka,3767.606655,3767.606655,LKA,80969683537.0,21919000.0,61860.0,23.68485044,,65.08229088,11.0,3.576180811,7.340820756,0.001223944,0.100382281,175,Sri Lanka,1,2,3,4,0.0,Sri-Lanka,6.804166667,0
178,178,178,2503,Swaziland2020,91.3475,5.4925,Swaziland,3305.774271,3305.774271,SWZ,,,,,,,,3.51940455,,,0.056717266,178,Swaziland,0,2,2,3,0.0,Eswatini,6.378333333,0
22,22,22,319,Bhutan2020,87.61333333,12.23333333,Bhutan,3217.962935,3217.962935,BTN,2315436303.0,771612.0,38140.0,24.89450602,15.78534031,68.900789,,3.507715976,5.887399536,0.020953056,0.122521199,22,Bhutan,0,1,3,2,0.0,Bhutan,9.0375,0
192,192,192,2699,Turkmenistan2020,93.37,6.394166667,Turkmenistan,7103.921926,7103.921926,TKM,,6031187.0,469930.0,30.79178273,27.99839973,64.44019432,12.0,3.85155931,6.780402866,0.032585188,0.064092819,192,Turkmenistan,0,1,2,1,9.0,Turkmenistan,2.35,0
84,84,84,1187,Iceland2020,52.55333333,47.30166667,Iceland,63644.01827,63644.01827,ISL,21718075725.0,366463.0,100830.0,19.42428123,,64.95371334,10.0,4.803764415,5.564031318,0.105559143,0.473703537,84,Iceland,1,1,1,1,6.1,Iceland,28.73083333,0
141,141,141,1985,Norway2020,44.2675,55.52083333,Norway,66870.73073,66870.73073,NOR,362198000000.0,5379475.0,364285.0,17.25710036,,65.21632224,10.0,4.825242563,6.730739974,0.028456391,0.556386017,141,Norway,0,1,2,1,0.0,Norway,27.5625,0
195,195,195,2741,Uganda2020,79.355,6.684166667,Uganda,846.1164807,846.1164807,UGA,37600368181.0,45741000.0,200520.0,46.01588242,11.25,51.99841796,7.0,2.927943131,7.660305665,0.001899705,0.077687487,195,Uganda,0,2,6,4,0.0,Uganda,10.72416667,0
140,140,140,1971,Northern Mariana Islands2020,69.79333333,29.9925,Northern Mariana Islands,"20,660",20660.0,MNP,,57557.0,460.0,,,,,4.315151338,4.760105695,0.003457119,0.300568718,140,Northern Mariana Islands,1,3,4,4,0.0,,29.77666667,0
156,156,156,2195,Rwanda2020,83.91666667,8.855833333,Rwanda,797.7054035,797.7054035,RWA,10184345442.0,12952209.0,24670.0,39.47423522,10.78352451,57.40646119,6.0,2.902386623,7.112343877,0.000826411,0.095457526,156,Rwanda,1,3,2,3,0.0,Rwanda,11.84083333,0
165,165,165,2321,Serbia2020,89.34666667,10.20916667,Serbia,7655.695885,7655.695885,SRB,53335016425.0,6899126.0,87460.0,15.36710528,,65.57439303,8.0,3.884041398,6.83879414,0.005470933,0.102547147,165,Serbia,0,1,1,2,6.3,Serbia,4.598333333,0
